CC #,VIDI FX, Function
15,FX Dry/Wet,Controls opacity of all FX
16,Video Playback Speed,Changes speed of playback (unless Video Sync is toggled)
17,Video Division,Changes duration of synced playback when Video Sync is toggled.
18,Video Sync,Changes video playback to sync with tempo of your session rather than the Video Playback Speed slider.
19,Background Switch,"When nothing is drawn, the background will alternate (with your session tempo) between BG Color #1 and BG Color #2"
20,Tempo Division,Changes the note value duration by which the background switches.
21,Triplet,Tempo Division becomes a triplet of whatever note duration is selected.
24,Invert Dry/Wet,Changes colors to their inverse.
25,Ripple Dry/Wet,Sends ripples through the image/video.
26,Ripple Sync,The rate of the ripples will correspond to the tempo of the session.
27,Horizontal Ripple Amount,The amplitude of the horizontal ripples!
28,Vertical Ripple Amount,The amplitude of the vertical ripples!
29,Ripple Rate,The frequency by which the image ripples!
30,Filter Dry/Wet,Puts a filter with a custom color on the image.
31,Filter Red,Red filter component.
33,Filter Green,Green filter component.
34,Filter Blue,Blue filter component.
35,Filter Alpha,The opacity of the filter.
40,Kaleidoscope Macro,"Shockingly, it makes the image look like a kaleidoscope."
41,Kaleidoscope Angle,The angle of the kaleidoscope (I don't really know)
42,Kaleidoscope Skew X,Another fun thing to make the kaleidoscope move.
43,Kaleidoscope Skew Y,"Yet, another fun thing to play with."
44,Kaleidoscope Sectors,The amount of divisions in a half of the kaleidoscope.
50,Background Color 1 Red,The red component of BG Color #1
51,Background Color 1 Green,The green component of BG Color #1
52,Background Color 1 Blue,The blue component of BG Color #1
53,Background Color 2 Red,The red component of BG Color #2
54,Background Color 2 Green,The green component of BG Color #2
55,Background Color 2 Blue,The blue component of BG Color #2